feature,variance
225,181696.95407628597
3,193456.8767504168
294,227305.46998950563
140,254678.6335265565
204,318119.81025452074
160,330000.504126048
21,392415.793848582
159,965225.4010575722
23,1902415.065087526
296,3896666.9877248583
24,8414910.890763268
297,10402699.047085961
161,17950939.250304617
162,42905999.07439764
