,dominant_ratio
269,0.009577015163607342
448,0.009577015163607342
11,0.009577015163607342
37,0.009577015163607342
310,0.009577015163607342
309,0.009577015163607342
443,0.009577015163607342
33,0.008778930566640064
277,0.008778930566640064
268,0.008778930566640064
2,0.008778930566640064
35,0.008778930566640064
38,0.008778930566640064
303,0.008778930566640064
113,0.008778930566640064
248,0.008778930566640064
441,0.008778930566640064
175,0.008778930566640064
428,0.007980845969672785
491,0.007980845969672785
146,0.007980845969672785
134,0.007980845969672785
442,0.007980845969672785
539,0.007980845969672785
39,0.007980845969672785
10,0.007980845969672785
299,0.007980845969672785
407,0.007980845969672785
133,0.007980845969672785
406,0.007980845969672785
302,0.007980845969672785
36,0.007980845969672785
34,0.007980845969672785
540,0.007980845969672785
541,0.007980845969672785
298,0.007980845969672785
412,0.007182761372705506
415,0.007182761372705506
438,0.007182761372705506
445,0.007182761372705506
493,0.007182761372705506
467,0.007182761372705506
145,0.007182761372705506
413,0.007182761372705506
408,0.007182761372705506
411,0.007182761372705506
140,0.007182761372705506
139,0.007182761372705506
416,0.007182761372705506
274,0.007182761372705506
273,0.007182761372705506
270,0.007182761372705506
279,0.007182761372705506
20,0.007182761372705506
25,0.007182761372705506
26,0.007182761372705506
340,0.007182761372705506
320,0.007182761372705506
9,0.007182761372705506
6,0.007182761372705506
4,0.007182761372705506
3,0.007182761372705506
287,0.006384676775738229
199,0.006384676775738229
169,0.006384676775738229
198,0.006384676775738229
160,0.006384676775738229
156,0.006384676775738229
332,0.00558659217877095
336,0.00558659217877095
446,0.00558659217877095
472,0.00558659217877095
473,0.00558659217877095
196,0.00558659217877095
185,0.00558659217877095
202,0.00558659217877095
201,0.00558659217877095
474,0.00558659217877095
494,0.00558659217877095
64,0.00558659217877095
30,0.00558659217877095
32,0.00558659217877095
63,0.00558659217877095
59,0.00558659217877095
65,0.00558659217877095
200,0.00558659217877095
181,0.00558659217877095
197,0.00558659217877095
205,0.00558659217877095
338,0.00558659217877095
337,0.00558659217877095
339,0.004788507581803671
300,0.004788507581803671
180,0.004788507581803671
343,0.004788507581803671
344,0.004788507581803671
341,0.004788507581803671
334,0.004788507581803671
393,0.004788507581803671
1,0.004788507581803671
335,0.004788507581803671
333,0.004788507581803671
137,0.004788507581803671
480,0.004788507581803671
470,0.004788507581803671
471,0.004788507581803671
469,0.004788507581803671
477,0.004788507581803671
476,0.004788507581803671
61,0.004788507581803671
67,0.004788507581803671
68,0.004788507581803671
62,0.004788507581803671
66,0.004788507581803671
60,0.004788507581803671
28,0.004788507581803671
71,0.004788507581803671
70,0.004788507581803671
431,0.004788507581803671
430,0.004788507581803671
435,0.004788507581803671
434,0.004788507581803671
436,0.004788507581803671
479,0.004788507581803671
187,0.004788507581803671
475,0.004788507581803671
203,0.004788507581803671
208,0.004788507581803671
204,0.004788507581803671
272,0.004788507581803671
207,0.004788507581803671
410,0.004788507581803671
301,0.0039904229848363925
0,0.0039904229848363925
31,0.0039904229848363925
27,0.0039904229848363925
88,0.0039904229848363925
162,0.0039904229848363925
159,0.0039904229848363925
495,0.0039904229848363925
523,0.0039904229848363925
361,0.0039904229848363925
223,0.0039904229848363925
271,0.0039904229848363925
182,0.0039904229848363925
184,0.0039904229848363925
136,0.0039904229848363925
144,0.0039904229848363925
44,0.0039904229848363925
409,0.0039904229848363925
510,0.0031923383878691143
120,0.0031923383878691143
152,0.0031923383878691143
150,0.0031923383878691143
304,0.0031923383878691143
317,0.0031923383878691143
8,0.0031923383878691143
47,0.0031923383878691143
22,0.0031923383878691143
21,0.0031923383878691143
585,0.0023942537909018356
14,0.0023942537909018356
16,0.0023942537909018356
15,0.0023942537909018356
289,0.0023942537909018356
286,0.0023942537909018356
23,0.0023942537909018356
183,0.0023942537909018356
424,0.0023942537909018356
426,0.0023942537909018356
427,0.0023942537909018356
417,0.0023942537909018356
255,0.0023942537909018356
425,0.0023942537909018356
423,0.0023942537909018356
151,0.0023942537909018356
455,0.0023942537909018356
285,0.0023942537909018356
390,0.0023942537909018356
283,0.0023942537909018356
154,0.0023942537909018356
161,0.0023942537909018356
24,0.0023942537909018356
18,0.0023942537909018356
48,0.0023942537909018356
452,0.0023942537909018356
250,0.0015961691939345571
295,0.0015961691939345571
319,0.0015961691939345571
356,0.0015961691939345571
323,0.0015961691939345571
321,0.0015961691939345571
12,0.0015961691939345571
294,0.0015961691939345571
316,0.0015961691939345571
318,0.0015961691939345571
324,0.0015961691939345571
297,0.0015961691939345571
50,0.0015961691939345571
188,0.0015961691939345571
453,0.0015961691939345571
454,0.0015961691939345571
440,0.0015961691939345571
460,0.0015961691939345571
457,0.0015961691939345571
439,0.0015961691939345571
456,0.0015961691939345571
420,0.0015961691939345571
252,0.0015961691939345571
421,0.0015961691939345571
429,0.0015961691939345571
218,0.0015961691939345571
437,0.0015961691939345571
459,0.0015961691939345571
46,0.0015961691939345571
490,0.0015961691939345571
524,0.0015961691939345571
526,0.0015961691939345571
520,0.0015961691939345571
522,0.0015961691939345571
117,0.0015961691939345571
148,0.0015961691939345571
45,0.0015961691939345571
527,0.0015961691939345571
43,0.0015961691939345571
83,0.0015961691939345571
51,0.0015961691939345571
388,0.0007980845969672786
296,0.0007980845969672786
115,0.0007980845969672786
